"","iter","a.norm","b.norm","a.poisson","b.poisson"
"1",-0.0833333333333333,0.0502,0.0692,0.0503,0.069
"2",-0.166666666666667,0.05,0.1309,0.0488,0.1297
"3",-0.25,0.0509,0.2422,0.0502,0.2439
"4",-0.333333333333333,0.0485,0.398,0.0462,0.4041
"5",-0.416666666666667,0.049,0.5938,0.0495,0.6049
"6",-0.5,0.0509,0.7639,0.0486,0.7763
"7",-0.583333333333333,0.0503,0.8967,0.049,0.9086
"8",-0.666666666666667,0.0479,0.9675,0.0455,0.9739
"9",-0.75,0.0522,0.9937,0.0498,0.9955
"10",-0.833333333333333,0.0496,0.9989,0.0502,0.9992
"11",-0.916666666666667,0.0479,1,0.0474,1
