"","iter","a.norm","b.norm","a.poisson","b.poisson"
"1",-0.833333333333333,0.0476,0.9991,0.0479,0.9998
"2",-0.666666666666667,0.0459,0.9655,0.044,0.9709
"3",-0.5,0.0486,0.7701,0.0475,0.782
"4",-0.333333333333333,0.0502,0.3959,0.0508,0.4
"5",-0.166666666666667,0.0512,0.1282,0.0502,0.1254
"6",0,0.0449,NA,0.046,NA
"7",0.166666666666667,0.0516,0.1034,0.0509,0.1053
"8",0.333333333333333,0.0484,0.2577,0.0451,0.2829
"9",0.5,0.0491,0.4906,0.0494,0.5236
"10",0.666666666666667,0.0511,0.6991,0.0501,0.7426
"11",0.833333333333333,0.051,0.8597,0.0469,0.8936
"12",1,0.0527,0.9464,0.0507,0.9619
