"","iter","a.norm","b.norm","a.poisson","b.poisson"
"1",-0.2,0.0629,0.8738,0.0526,0.5091
"2",-0.166666666666667,0.0597,0.8595,0.0503,0.6966
"3",-0.133333333333333,0.0562,0.8359,0.049,0.7232
"4",-0.1,0.0548,0.7953,0.0499,0.7427
"5",-0.0666666666666667,0.0479,0.8073,0.0476,0.786
"6",-0.0333333333333333,0.0519,0.7937,0.0509,0.7671
"7",0,0.0497,0.7617,0.0483,0.7721
"8",0.0333333333333333,0.049,0.7454,0.0492,0.784
"9",0.0666666666666667,0.0445,0.7166,0.0486,0.7506
"10",0.1,0.0465,0.7249,0.0524,0.7647
"11",0.133333333333333,0.0467,0.6824,0.0491,0.7328
"12",0.166666666666667,0.0417,0.669,0.0472,0.7096
"13",0.2,0.0432,0.6604,0.05,0.7088
"14",0.233333333333333,0.0456,0.6242,0.0522,0.6742
"15",0.266666666666667,0.0386,0.5785,0.0485,0.6304
"16",0.3,0.0389,0.6015,0.047,0.6548
"17",0.333333333333333,0.04,0.591,0.0505,0.6388
"18",0.366666666666667,0.0381,0.5479,0.0492,0.5991
"19",0.4,0.0373,0.5679,0.0455,0.6128
