"","iter","a.norm","b.norm","a.poisson","b.poisson"
"1",0,0.0476,0.76,0.0479,0.7715
"2",0.02,0.049,0.7071,0.0712,0.753
"3",0.04,0.0517,0.6531,0.0961,0.7367
"4",0.06,0.0492,0.6259,0.1146,0.7297
"5",0.08,0.0498,0.5786,0.1334,0.7138
"6",0.1,0.0497,0.5446,0.1516,0.7065
"7",0.12,0.0457,0.5208,0.1685,0.6958
"8",0.14,0.0514,0.4893,0.1936,0.6854
"9",0.16,0.0494,0.4601,0.2056,0.6729
"10",0.18,0.0499,0.4412,0.2288,0.6665
"11",0.2,0.0503,0.4173,0.2372,0.6635
"12",0.22,0.0485,0.4042,0.2486,0.6598
"13",0.24,0.0466,0.3724,0.2646,0.6419
"14",0.26,0.0515,0.3656,0.2806,0.6465
